App_Title,Rating,User_Rating,Update,Size,Installs,Version,Required Android,Category
Adobe Spark Post: Graphic design made easy,4.4,29763,3/20/2020,61000000,5000000,3.8.6,5.0 and up,Art & Design
ArtRabbit - Your guide to art exhibitions & events,3.8,53,02-11-2020,17000000,10000,1.4.5,5.0 and up,Art & Design
Menu AR Augmented Reality Food,4.5,84,11/29/2019,8200000,5000,2.78,5.0 and up,Food & Drink
WOORLD,4.2,21,12-08-2016,83000000,5000,1.2.0,4.2 and up,Casual
Temple Treasure Hunt Game,3.3,344,2/24/2014,26000000,10000,1.4,3.0 and up,Health & Fitness
Cars and Vehicles Puzzles for Toddlers,4.2,72,3/18/2020,17000000,100000,3.9,5.0 and up,Puzzle
To Read – Reading List,3.7,645,11/20/2016,8700000,50000,3.9.1,4.0.3 and up,Books & Reference
eBizPal - Global Business Network,4.6,89,03-02-2019,12000000,10000,1.14.2,4.4 and up,Business
Digital Communication,3.9,79,1/22/2019,1000000,10000,7,4.0 and up,Education
Communication in Relationships - Tips and Guides,3.5,6,02-10-2020,6700000,10000,1.3,4.4 and up,Education
Importance of Communication Skills,3.7,6,1/25/2019,3100000,1000,1,4.0.3 and up,Books & Reference
Communication Today,4,11,02-01-2018,11000000,1000,2,4.0.3 and up,News & Magazines
Business Communication - Student Notes App,3.9,10,11/23/2019,20000000,5000,8,4.1 and up,Education
Communication Guys,5,12,10/18/2017,4400000,100,2.4.16,4.2 and up,Business
BizChat: Team Communication and Collaboration,4.2,41,8/23/2019,27000000,1000,1.6.4,4.0.3 and up,Business
BUSINESS COMMUNICATION - Guide,5,7,11/19/2019,7000000,5000,1.1,4.4 and up,Business
Learn Communication Skills,4,11,12/28/2017,20000000,5000,1,4.0.3 and up,Education
Business Communication,5,14,12/26/2019,2200000,1000,1.0.0,5.0 and up,Education
Communication Skill - How to Communicate,4.4,5,3/20/2018,4300000,1000,1,4.0 and up,Business
COMMUNICATION SKILLS Guide,3.8,6,11/23/2019,6800000,5000,1.1,4.4 and up,Books & Reference
Cardboard Controller [ROOT],3.4,9,06-04-2018,1400000,5000,1.0.2,4.3 and up,Tools
BBC Earth: Life in VR,4.2,92,04-04-2018,16000000,50000,2.0.0,7.0 and up,Adventure
Backdrop Daydream,2.9,47,02-09-2017,4500000,10000000,1.3.4,4.2 and up,Tools
Hyperspace Screensaver,4.2,25,1/21/2020,935000,5000,1/21/2020 21:00,4.4 and up,Tools
VR Karts: Sprint,3,158,3/14/2017,97000000,50000,1.04,7.0 and up,Racing
Playground for Daydream,2.2,57,11/23/2016,72000000,5000,1,4.4 and up,Adventure
VRMark - The VR Benchmark,3.7,23,6/28/2018,38000000,5000,1.0.71,6.0 and up,Tools
DreamyDream Daydream,3.6,22,04-09-2018,2200000,1000,1.7.2,4.4 and up,Personalization
Entertainment News,5,14,12/31/2018,15000000,500,2,4.2 and up,News & Magazines
